"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"nova apparels",751,"50000","Basic Shirts, Jacket, Jogging Suitts",244,"0","Gulshan",23.7936706,90.4066082,"House # 79 (4th & 5th Fl), Block - E,Bir Uttam Shahid Ziaur Rahman Sarani,Banani,Dhaka",1990,0,0,1,1
"novel enterprise pvt ltd",1161,"x","Shirts, Shorts",185.238576627578,"0","Kalabagan",23.7502964,90.3870857,"69/A, Green Road,Green Road,Dhaka",1992,1,0,0,1
"novel garments inds ltd",598,"60000","Blouses, Jakcets",125,"0","Tejgaon Ind. Area",23.7704102,90.4073114,"122/A, Tejgaon I/A,Tejgaon,Dhaka",1986,0,0,1,1
"nucon garments ltd ",2259,"50000","Shirts, Ladies Blouses, Pants",125,"0","Patenga",22.2861399,91.7840935,"Shah Plaza, Airport Road,375, Badartilla,Bandar,Chittagong",1997,0,0,0,1
"nzn fashions wears ltd",368,"13000","Shirts, Jeans, Shortails",350,"0","Kotwali",22.3313488,91.8420797,"150, Iqbal Road,Patherghata,Chittagong",1984,0,0,1,1
"nzn garments ltd",369,"78000","Shirts, Jeans, Overalls",250,"0","Kotwali",22.3313488,91.8420797,"150, Iqbal Road,Patherghata,Chittagong",1984,0,0,1,1
"ocean fashions ltd",1269,"60000","Blouses, Jackets, Trousers",136,"0","Pallabi",23.8167974,90.3568443,"Plot # 2, Road # 2,Section # 7,Mirpur,Dhaka",1992,0,0,0,1
"oceania fashions apparels ltd",1433,"48000","Shirts, Jackets, Shorts",168,"0","Uttara",23.8680559,90.4001427,"177, Dakhin Khan,P.O. Azampur,Uttara,Dhaka",1993,0,0,0,1
"odessa fashions ltd",1962,"84000","Pullovers, Troyer",658,"1","Gazipur Sadar",23.9999405,90.4202724,"Nalzani,Chandana,Joydevpur,Gazipur",1995,0,0,0,1
"olympic apparels ltd",1330,"60000","Dresses, Overalls, Shorts",175,"0","Gazipur Sadar",23.9504063,90.380132,"Kunia Targach,National University,Board Bazar,Gazipur",1992,0,0,0,1
